105年02月01日大盤統計資訊
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
寶島股價指數,"9,483.36",＋,6.84,0.07
發行量加權股價指數,"8,156.96",＋,11.75,0.14
臺灣50指數,"5,962.32",＋,17.87,0.30
臺灣中型100指數,"5,986.31",－,1.61,-0.03
臺灣資訊科技指數,"7,065.53",＋,49.51,0.71
臺灣發達指數,"7,022.34",＋,11.99,0.17
臺灣高股息指數,"5,100.36",＋,26.30,0.52
臺灣就業99指數,"4,962.31",－,4.89,-0.10
臺灣高薪100指數,"4,449.28",＋,9.23,0.21
臺灣低波動高股息指數,"1,239.42",＋,1.39,0.11
未含金融保險股指數,"6,923.48",＋,18.46,0.27
未含電子股指數,"11,656.17",＋,3.28,0.03
未含金融電子股指數,"10,192.04",＋,30.51,0.30
水泥窯製類指數,376.35,＋,0.65,0.17
塑膠化工類指數,737.10,＋,2.88,0.39
機電類指數,"1,826.94",＋,4.42,0.24
水泥類指數,97.88,＋,0.32,0.33
食品類指數,"1,323.75",＋,6.69,0.51
塑膠類指數,210.93,＋,0.89,0.42
紡織纖維類指數,546.73,＋,4.95,0.91
電機機械類指數,143.07,＋,0.27,0.19
電器電纜類指數,27.97,－,0.06,-0.21
化學生技醫療類指數,99.53,－,0.17,-0.17
化學類指數,90.40,＋,0.48,0.53
生技醫療類指數,78.58,－,0.69,-0.87
玻璃陶瓷類指數,33.19,－,0.23,-0.69
造紙類指數,143.03,＋,0.05,0.03
鋼鐵類指數,73.27,＋,0.95,1.31
橡膠類指數,278.88,＋,3.11,1.13
汽車類指數,248.50,－,0.67,-0.27
電子類指數,324.63,＋,0.80,0.25
半導體類指數,108.61,＋,0.67,0.62
電腦及週邊設備類指數,88.21,＋,0.51,0.58
光電類指數,28.43,－,0.63,-2.17
通信網路類指數,115.41,＋,0.22,0.19
電子零組件類指數,71.45,－,0.62,-0.86
電子通路類指數,92.20,－,0.11,-0.12
資訊服務類指數,79.40,－,0.15,-0.19
其他電子類指數,76.88,＋,0.62,0.81
建材營造類指數,211.62,＋,0.64,0.30
航運類指數,63.57,－,0.48,-0.75
